base
Κλεοπάτρα / Kleopatra
Κλεωναί / Klewnai
Κλεόμαχος / Kleomaxos
Κλεώνυμος / Klewnumos
Κλοιλία Κλοίλιος / Kloilia Kloilios
Κλούσιον / Klousion
Κλύτιος / Klutios
Κνάκαλος / Knakalos
Κνίδιος / Knidios
Κνίδος / Knidos
Κνίσος / Knisos
Κνωσσός / Knwssos
Κνώσιος / Knwsios
Κοθωκίδαι / Koqwkidai
Κοιλοσυρία / Koilosuria
Κοισύρα / Koisura
Κολλυτός / Kollutos
Κολοσσαί / Kolossai
Κολοφών / Kolofwn
Κολχίς / Kolxis
Κολωνός / Kolwnos
Κομμαγηνή / Kommaghnh
Κονθύλη / Konqulh
Κοπτός / Koptos
Κορίνθιος / Korinqios
Κοραξοί / Koracoi
Κορνίκολον / Kornikolon
Κορυδαλλός / Korudallos
Κορυφάσιον / Korufasion
Κορόπη / Koroph
Κορύβας / Korubas
Κορώνεια / Korwneia
Κοτύωρα / Kotuwra
Κουρής / Kourhs
Κούριον / Kourion
Κοῖος / Koios
Κράτης / Kraths
Κρέων / Krewn
Κρής / Krhs
Κρήτη / Krhth
Κραναός / Kranaos
Κραννών / Krannwn
Κρατῖνος / Kratinos
Κρηθεύς / Krhqeus
Κρηστών / Krhstwn
Κρηταῖος / Krhtaios
Κριτίας / Kritias
Κριώα / Kriwa
Κρομμύων / Krommuwn
Κροῖσος / Kroisos
Κρυασσός / Kruassos
Κρωπιά / Krwpia
Κρόνος / Kronos
Κρότων / Krotwn
Κρότωπος / Krotwpos
Κρῆτες / Krhtes
Κρῖσα / Krisa
Κυβέλη / Kubelh
Κυβήλη / Kubhlh
Κυδαθήναιον / Kudaqhnaion
Κυδαντίδαι / Kudantidai
Κυδωνία / Kudwnia
Κυδώνιος / Kudwnios
Κυθέρεια / Kuqereia
Κυλλήνη / Kullhnh
Κυμαῖος / Kumaios
Κυπριανός / Kuprianos
Κυρήνη / Kurhnh
Κυρῖνος / Kurinos
Κωκυτός / Kwkutos
Κωνσταντῖνος / Kwnstantinos
Κόδρος / Kodros
Κόνων / Konwn
Κόρη / Korh
Κόρινθος / Korinqos
Κύζικος / Kuzikos
Κύθηρα / Kuqhra
Κύθνος / Kuqnos
Κύκλωψ / Kuklwy
Κύκνος / Kuknos
Κύλων / Kulwn
Κύμη / Kumh
Κύνθος / Kunqos
Κύπριος / Kuprios
Κύπρις / Kupris
Κύπρος / Kupros
Κύρνος / Kurnos
Κύταια / Kutaia
Κύτινα / Kutina
Κύφος / Kufos
Κύχρεια / Kuxreia
Κύψελος / Kuyelos
Κώρυκος / Kwrukos
Κῖνυψ / Kinuy
Κῦρα / Kura
Κῦρος / Kuros
Κῶνσος / Kwnsos
Κῶπαι / Kwpai
Κῶς / Kws
Λάβδακος / Labdakos
Λάζαρος / Lazaros
Λάκμων / Lakmwn
Λάκων / Lakwn
Λάμαχος / Lamaxos
Λάμητος / Lamhtos
Λάμψακος / Lamyakos
Λάρανδα / Laranda
Λάρισα / Larisa
Λάτμος / Latmos
Λάϊος / Laios
Λέανδρος / Leandros
Λέβεδος / Lebedos
Λέλεγες / Leleges
Λέπρεον / Lepreon
Λέρνα / Lerna
Λέσβιος / Lesbios
Λέσβος / Lesbos
Λίβανος / Libanos
Λίβυα / Libua
Λίγγονες / Liggones
Λίγυς / Ligus
Λίλαια / Lilaia
Λίμναι / Limnai
Λίνδος / Lindos
Λίνος / Linos
Λαέρτης / Laerths
Λαιστρυγών / Laistrugwn
Λακεδαίμων / Lakedaimwn
Λακεδαιμόνιος / Lakedaimonios
Λαμία / Lamia
Λαοδίκεια / Laodikeia
Λαομέδων / Laomedwn
Λαουΐνιον / Laouinion
Λαπίθης / Lapiqhs
Λασιών / Lasiwn
Λατῖνος / Latinos
Λαύρειον / Laureion
Λαύρεντον / Laurenton
Λείβηθρα / Leibhqra
Λεβάδεια / Lebadeia
Λειβήθριον / Leibhqrion
Λεοντῖνοι / Leontinoi
Λευεΐτης / Leueiths
Λευεί / Leuei
Λευκάς / Leukas
Λευκανία / Leukania
Λεωνίδας / Lewnidas
Λεωντίς / Lewntis
Λεύκιππος / Leukippos
Λεύκολλος / Leukollos
Λεύκων / Leukwn
Λεῦκτρα / Leuktra
Λητώ / Lhtw
Λιβία / Libia
Λιβύα / Libua
Λιβύη / Libuh
Λικύμνιος / Likumnios
Λιλύβαιον / Lilubaion
Λιπάρα / Lipara
Λοκρός / Lokros
Λούκουλλος / Loukoullos
Λυδός / Ludos
Λυκάμβης / Lukambhs
Λυκάων / Lukawn
Λυκία / Lukia
Λυκαονία / Lukaonia
Λυκομήδης / Lukomhdhs
Λυκοῦργος / Lukourgos
Λυκόρμας / Lukormas
Λυρνησσός / Lurnhssos
Λυσίμαχος / Lusimaxos
Λυσιμάχεια / Lusimaxeia
Λύγκος / Lugkos
Λύδιος / Ludios
Λύκαιον / Lukaion
Λύκαιος / Lukaios
Λύκαστος / Lukastos
Λύκια / Lukia
Λύκιος / Lukios
Λύκτος / Luktos
Λύσανδρος / Lusandros
Λύσιππος / Lusippos
Λῆμνος / Lhmnos
Λῆναι / Lhnai
Λῦσις / Lusis
Μάζακα / Mazaka
Μάκιστος / Makistos
Μάκρις / Makris
Μάμερκος / Mamerkos
Μάνης / Manhs
Μάραθος / Maraqos
Μάργανα / Margana
Μάριον / Marion
Μάριος / Marios
Μάρων / Marwn
Μάστωρ / Mastwr
Μάχλυες / Maxlues
Μέγαλλος / Megallos
Μέγαρα / Megara
Μέγας / Megas
Μέλανθος / Melanqos
Μέμμιος / Memmios
Μέμνων / Memnwn
Μέμφις / Memfis
Μέναιχμος / Menaixmos
Μένανδρος / Menandros
Μένδη / Mendh
Μένδης / Mendhs
Μένιππος / Menippos
Μέντορες / Mentores
Μέντωρ / Mentwr
Μένων / Menwn
Μέρμερος / Mermeros
Μέροπες / Meropes
Μήθυμνα / Mhqumna
Μήν / Mhn
Μίθρας / Miqras
Μίλητος / Milhtos
Μίνως / Minws
Μαίανδρος / Maiandros
Μαίναλος / Mainalos
Μαγαρσός / Magarsos
Μαγδαλά / Magdala
Μαγνησία / Magnhsia
Μαιονία / Maionia
Μαιῶτις / Maiwtis
Μακέτη / Maketh
Μακεδονίς / Makedonis
Μακεδόνιος / Makedonios
Μακεδών / Makedwn
Μακηδών / Makhdwn
Μαλέα / Malea
Μαλλός / Mallos
Μανιχαῖος / Manixaios
Μαντίας / Mantias
Μαντίνεια / Mantineia
Μαρία / Maria
Μαραθών / Maraqwn
Μαργίτης / Margiths
Μαργιανή / Margianh
Μαριανδυνός / Mariandunos
Μαρκίων / Markiwn
Μαρσοί / Marsoi
Μαρώνεια / Marwneia
Μασκάμης / Maskamhs
Μασσαγέτης / Massageths
Μασσαλία / Massalia
Μαχάων / Maxawn
Μαύσ σ ωλος / Maus s wlos
Μαῖα / Maia
Μαῖδοι / Maidoi
Μαῖρα / Maira
Μεγάβυζος / Megabuzos
Μεγαλόπολις / Megalopolis
Μεγαρεύς / Megareus
Μεθύδριον / Mequdrion
Μεθώνη / Meqwnh
Μελάμπους / Melampous
Μελέαγρος / Meleagros
Μελίτη / Melith
Μελχισεδέκ / Melxisedek
Μενοίτιος / Menoitios
Μεσημβρία / Meshmbria
Μεσοποταμία / Mesopotamia
Μεσσηνία / Messhnia
Μεταγειτνιών / Metageitniwn
Μεταπόντιον / Metapontion
Μηδία / Mhdia
Μηκιστεύς / Mhkisteus
Μηκύβερνα / Mhkuberna
Μιγώνιον / Migwnion
Μιδέα / Midea
Μιθριδάτης / Miqridaths
Μιλήσιος / Milhsios
Μιντοῦρναι / Mintournai
Μινύαι / Minuai
Μινύας / Minuas
Μιτυλήνη / Mitulhnh
Μνήσαρχος / Mnhsarxos
Μνήσων / Mnhswn
Μνησίστρατος / Mnhsistratos
Μοθώνη / Moqwnh
Μολίων / Moliwn
Μολοσσός / Molossos
Μολύκρειον / Molukreion
Μοσσύνοικος / Mossunoikos
Μουνιχία / Mounixia
Μοψοπία / Moyopia
Μοῦσα / Mousa
Μυγδονία / Mugdonia
Μυκάλη / Mukalh
Μυκήνη / Mukhnh
Μυκῆναι / Mukhnai
Μυονία / Muonia
Μυρρινοῦς / Murrinous
Μυσία / Musia
Μυτίστρατος / Mutistratos
Μυτιλήνη / Mutilhnh
Μωσῆς / Mwshs
Μωυσῆς / Mwushs
Μόλορχος / Molorxos
Μόρυχος / Moruxos
Μύκονος / Mukonos
Μύλασα / Mulasa
Μύνδος / Mundos
Μύννακος / Munnakos
Μύρινα / Murina
Μύρκινος / Murkinos
Μῃόνιος / Mhonios
Μῆδος / Mhdos
Μῆλος / Mhlos
Νάξος / Nacos
Νάρυξ / Naruc
Νάϊος / Naios
Νέμεος / Nemeos
Νέμεσις / Nemesis
Νέρων / Nerwn
Νέστωρ / Nestwr
Νέων / Newn
Νήρικος / Nhrikos
Νήϊον / Nhion
Νίνος / Ninos
Νίσαια / Nisaia
Νίσιβις / Nisibis
Νίσυρος / Nisuros
Ναζαρέτ / Nazaret
Νασάμων / Nasamwn
Νασαμῶνες / Nasamwnes
Ναυπλία / Nauplia
Ναϊάς / Naias
Ναύβολος / Naubolos
Ναύκρατις / Naukratis
Ναύπακτος / Naupaktos
Ναύπλιος / Nauplios
Νεάπολις / Neapolis
Νεμέα / Nemea
Νεῖλος / Neilos
Νηλεύς / Nhleus
Νηρεύς / Nhreus
Νικίας / Nikias
Νικηφόρος / Nikhforos
Νικόμαχος / Nikomaxos
Νινευή / Nineuh
Νομαδία / Nomadia
Νομαντία / Nomantia
Νότιον / Notion
Νώνακρις / Nwnakris
Νώρικον / Nwrikon
Νῖσα / Nisa
Νῦσα / Nusa
Νῶλα / Nwla
Ξάνθος / Canqos
Ξανθίας / Canqias
Ξανθώ / Canqw
Ξενάρκης / Cenarkhs
Ξενοφῶν / Cenofwn
Ξουθία / Couqia
Ξοῦθος / Couqos
Οϊλεύς / Oileus
Οἰανθεία / Oianqeia
Οἰδίπους / Oidipous
Οἰκλῆς / Oiklhs
Οἰνεύς / Oineus
Οἰνοῦς / Oinous
Οἰνωτρία / Oinwtria
Οἰχαλία / Oixalia
Οἴαγρος / Oiagros
Οἴη / Oih
Οἴτη / Oith
Οὐήϊοι / Ouhioi
Οὐρανός / Ouranos
Οὖννοι / Ounnoi
Οὖπις / Oupis
Πάγραι / Pagrai
Πάγχων / Pagxwn
Πάκτυες / Paktues
Πάλαιρος / Palairos
Πάλλας / Pallas
Πάν / Pan
Πάνακρα / Panakra
Πάνδροσος / Pandrosos
Πάνθοος / Panqoos
Πάνορμος / Panormos
Πάξαμος / Pacamos
Πάπρημις / Paprhmis
Πάραχος / Paraxos
Πάρθοι / Parqoi
Πάριον / Parion
Πάριος / Parios
Πάρις / Paris
Πάρμα / Parma
Πάρνης / Parnhs
Πάρος / Paros
Πάρπαρος / Parparos
Πάσσαλον / Passalon
Πάσχα / Pasxa
Πάταρα / Patara
Πάτραι / Patrai
Πάφος / Pafos
Πέδα / Peda
Πέλλα / Pella
Πέλοψ / Peloy
Πέλωρον / Pelwron
Πέργαμον / Pergamon
Πέργη / Pergh
Πέρινθος / Perinqos
Πέρσης / Pershs
Πέφνος / Pefnos
Πήγασος / Phgasos
Πήδασα / Phdasa
Πήλεκες / Phlekes
Πήλιον / Phlion
Πίμπλεια / Pimpleia
Πίνδαρος / Pindaros
Πίνδος / Pindos
Παγασαί / Pagasai
Παιανία / Paiania
Παιονία / Paionia
Πακτωλός / Paktwlos
Παλάτιον / Palation
Παλαιστίνη / Palaistinh
Παλαμήδης / Palamhdhs
Παλλάντιον / Pallantion
Παλλάς / Pallas
Παλλήνη / Pallhnh
Παμβωτάδαι / Pambwtadai
Παμφυλία / Pamfulia
Παμύλης / Pamulhs
Πανάμαρος / Panamaros
Πανδέλετος / Pandeletos
Πανδίων / Pandiwn
Πανελλήνιος / Panellhnios
Παννονία / Pannonia
Πανοπεύς / Panopeus
Παντικάπαιον / Pantikapaion
Παραιτακηνή / Paraitakhnh
Παρμενίδης / Parmenidhs
Παρνασός / Parnasos
Παρπάρων / Parparwn
Παρρασία / Parrasia
Πατροκλῆς / Patroklhs
Παφλαγονία / Paflagonia
Πείραιον / Peiraion
Πειρήνη / Peirhnh
Πειραιεύς / Peiraieus
Πεισίστρατος / Peisistratos
Πεισιάναξ / Peisianac
Πελίας / Pelias
Πελασγία / Pelasgia
Πελασγός / Pelasgos
Πελλήνη / Pellhnh
Πελοποννήσιος / Peloponnhsios
Πελοπόννησος / Peloponnhsos
Πεπάρηθος / Peparhqos
Περικλέης / Periklehs
Περικλῆς / Periklhs
Περκώτη / Perkwth
Περραιβία / Perraibia
Περσεύς / Perseus
Περσικός / Persikos
Πεσσινόεις / Pessinoeis
Πετηλία / Pethlia
Πευκεύς / Peukeus
Πηλείων / Phleiwn
Πηλεύς / Phleus
Πηλούσιον / Phlousion
Πηλός / Phlos
Πιαλία / Pialia
Πιερία / Pieria
Πισήνωρ / Pishnwr
Πισιδία / Pisidia
Πιτάνα / Pitana
Πιτθεύς / Pitqeus
Πιττακός / Pittakos
Πιτυοῦς / Pituous
Πλάκος / Plakos
Πλάτων / Platwn
Πλακία / Plakia
Πλακεντία / Plakentia
Πλαταία / Plataia
Πλατωνικός / Platwnikos
Πλεισθένης / Pleisqenhs
Πλινθίνη / Plinqinh
Πλούταρχος / Ploutarxos
Πλούτων / Ploutwn
Ποίας / Poias
Ποδαλείριος / Podaleirios
Πολίχνα / Polixna
Πολυβιανός / Polubianos
Πολυδεύκης / Poludeukhs
Πολυκράτης / Polukraths
Πολυπήμων / Poluphmwn
Πολύαρχος / Poluarxos
Πολύζηλος / Poluzhlos
Πολύκτωρ / Poluktwr
Πολύμνηστος / Polumnhstos
Πολύφημος / Polufhmos
Πομπήϊος / Pomphios
Ποσειδωνιάς / Poseidwnias
Ποσειδῶν / Poseidwn
Ποταμός / Potamos
Ποτείδαια / Poteidaia
Ποτνιαί / Potniai
Πράξιλλα / Pracilla
Πρίαμος / Priamos
Πρίαπος / Priapos
Πραινεστός / Prainestos
Πριήνη / Prihnh
Προβάλινθος / Probalinqos
Προμηθεύς / Promhqeus
Προυσίας / Prousias
Προύνικος / Prounikos
Προῖτος / Proitos
Πρωταγόρας / Prwtagoras
Πρωτεσίλαος / Prwtesilaos
Πρόσυμνα / Prosumna
Πρῶτις / Prwtis
Πτελέα / Ptelea
Πτερίη / Pterih
Πτολεμαΐς / Ptolemais
Πτολεμαῖος / Ptolemaios
Πτώϊος / Ptwios
Πυανέψια / Puaneyia
Πυγμαῖος / Pugmaios
Πυθία / Puqia
Πυθαγόρας / Puqagoras
Πυθαεύς / Puqaeus
Πυθιάς / Puqias
Πυθιονίκης / Puqionikhs
Πυθόπολις / Puqopolis
Πυθώ / Puqw
Πυλάδης / Puladhs
Πυλαία / Pulaia
Πυλαῖος / Pulaios
Πυρρώνειος / Purrwneios
Πυτώ / Putw
Πόντος / Pontos
Πύγελα / Pugela
Πύδνα / Pudna
Πύθια / Puqia
Πύθων / Puqwn
Πύκνα / Pukna
Πύλος / Pulos
Πύρρα / Purra
Πύρρος / Purros
Πύρρων / Purrwn
Πῖσα / Pisa
Σάμος / Samos
Σάνη / Sanh
Σάραπις / Sarapis
Σάραπτα / Sarapta
Σάρδεις / Sardeis
Σάτυρος / Saturos
Σάϊς / Sais
Σέλευκος / Seleukos
Σέλλος / Sellos
Σέξτιος / Sectios
Σέριφος / Serifos
Σήθ / Shq
Σήρ / Shr
Σήστιος / Shstios
Σίβυλλα / Sibulla
Σίγγος / Siggos
Σίγειον / Sigeion
Σίκιννος / Sikinnos
Σίμων / Simwn
Σίνδοι / Sindoi
Σίντιες / Sinties
Σίσυφος / Sisufos
Σίφνιος / Sifnios
Σίφνος / Sifnos
Σαβάζιος / Sabazios
Σαβέλλιος / Sabellios
